PC1,PC2,description_index
-2.7162666998892235,-1.2987128709598463,0
-2.347724565083563,-1.5489130003992193,1
-2.790689135153924,-1.182898580574129,2
-2.6886650764440017,-1.2788656103294074,3
-2.7177150915084525,-1.2115921249524797,4
-2.342269935214208,-1.009695948452386,5
-2.7768242792931175,-1.2584993478838193,6
-2.527257803694825,-1.3659376510353165,7
-2.2333837773145406,-0.9921650629787386,8
-2.295440639317407,-0.8098604192765297,9
-2.674156536609209,-1.3055747443618588,10
-2.603010429030515,-1.296445475004189,11
-2.3761890424260983,-1.1457203496814299,12
-2.27720349011451,-1.3124445858343572,13
-2.851168451884792,-1.3103768059303813,14
-2.504607594957278,-1.1329266408994585,15
-2.585673066939031,-1.2271521693798448,16
-2.208940845664827,-1.2660884104831658,17
-2.537788634739829,-1.2425858962610545,18
-2.638418748167686,-1.226971378663196,19
-2.108944773936526,-1.115458235071456,20
-2.0140089773803993,-1.0761701612469423,21
-2.396129207773449,-1.3114862527839384,22
-2.1181067492839483,-1.0951967676884715,23
-2.0068232465765483,-1.0031666031728719,24
-2.023319625564028,-1.1459025119097719,25
-2.396129207773449,-1.3114862527839384,26
-2.197042306124959,-1.183170682507967,27
-0.7903987062174154,-1.0041706462779736,28
-1.8545579678066333,-1.040796739517792,29
-2.396129207773449,-1.3114862527839384,30
-1.9814502951692143,-1.0188065367621846,31
-2.1340818295889266,-1.1420041654814326,32
-2.0463428137827404,-1.0321096607850408,33
-2.396129207773449,-1.3114862527839384,34
-1.9750272101269108,-1.0765038560023725,35
-1.9700487535944315,-1.128774100595049,36
-2.197042306124959,-1.183170682507967,37
-2.396129207773449,-1.3114862527839384,38
-1.6721687040382038,-0.4170324878560397,39
-2.5604707074721276,-1.114304553935801,40
2.774170694891767,2.9070120828581163,41
0.7980181184541909,1.8289563510836264,42
-0.18982287145768956,0.8661464133884654,43
0.27496062365893637,1.3200362822901515,44
0.12035367755715218,1.2040154993163674,45
-1.1353647319173372,0.21840387384835866,46
0.21347581901763843,0.3230903854473059,47
-0.6675926549527306,0.8711281406173943,48
-0.3512602937414158,0.7305124723480919,49
-1.197535055145179,-0.22716446853796476,50
-0.6373618679202278,0.6523916819947025,51
2.328624544700473,1.5826729144045095,52
-1.686594034577236,-0.8336059327840747,53
0.03591304562232554,0.07707688599032454,54
-0.9668011663263202,0.4159148168469096,55
-0.37461726647679155,0.7694374272838249,56
-0.9036358411673711,0.4615019872294876,57
-1.4151227919699951,-0.21533165006095942,58
-0.3685841156563952,0.01111525503689603,59
-1.274271731605122,0.48009482692730154,60
-0.8768432072095134,-0.3022209556174248,61
-0.5378795066192905,0.04636538268268103,62
-2.132162886727733,-0.994872536649157,63
-2.044782592850191,-1.373574161590782,64
-2.085278874361334,-1.2844041437170886,65
-2.1091524998611892,-0.7052228984459209,66
-2.241235265573801,-1.413824003665533,67
-1.3120283671224808,-0.8552689670049224,68
-2.342054222238207,-1.5365746528457889,69
-2.054416287286326,-0.9177092354037053,70
-1.7125592346124625,-0.5901640169640227,71
-2.3699051174045693,-1.0573386222052932,72
-1.7063441797676762,-0.8309594070380962,73
-2.169048350914943,-0.8068353550103853,74
-0.6977219558029426,-0.7172998503236553,75
-1.9247399131291372,-0.7595727553459455,76
-1.5982125603006199,-0.44455829087644927,77
-1.648793863995804,-0.3459670296914953,78
-2.0605778789137332,-1.2275097943749946,79
-2.333388871565237,-1.5502901499601398,80
-1.1346781242948467,-1.0889539420473302,81
0.3707066469217534,-0.4554126225483316,82
-2.7555356018607204,-1.451395395389698,83
-0.7989153476099116,-0.9415328866631019,84
-0.06436484375017369,-0.8278884061182907,85
-2.2468918457875398,-1.567082394711955,86
-2.8544577007421856,-1.3942353857319492,87
-0.2661336515341519,-1.6232629451777076,88
0.7799326533510021,-0.9379931533321757,89
-2.6148978425879905,-1.620787653085726,90
-2.3313362187040396,-1.6825009840494543,91
-0.5782000613517708,-1.1310910713399258,92
0.8202830207010745,-0.7083773662428143,93
-2.1014916433122526,-1.8388450716255196,94
-2.434480627578,-1.2307988353977077,95
-0.9220818450287435,-1.1806481638535613,96
1.4792833840927562,-0.7040568253696756,97
-2.412241632335302,-1.7312015638682365,98
-2.2601278098405895,-1.6787808485924256,99
-1.1296914998697372,-1.1384057298518757,100
-0.9273742821405566,-0.4755298963282976,101
-0.5212430948013497,-0.019779228170312056,102
-0.08378263545726033,-0.29631097558117486,103
0.9279129395844095,2.0678671183325665,104
-2.3226297867935775,-1.126743793403976,105
-0.6777304629129077,-0.8214719566819085,106
-1.7393133779027117,-1.0606838097724585,107
-1.1915016904266817,-0.48529772529975673,108
-2.6775584562078154,-1.2773734489949466,109
-2.127689047761908,-0.6185959841195333,110
-0.3628098836522972,-0.04746524366607195,111
0.0065432540594550365,0.08554954120032358,112
-1.2675839140345275,-0.8702705925678418,113
-1.7672184861318951,-0.6484280935217382,114
-0.7266360800257852,0.2984611784743275,115
-1.047892925220079,-0.4894188221131062,116
-1.7897757321135341,-1.0529951295018893,117
-0.6754029172394211,0.49215177557908624,118
-1.4036589162238304,-0.32161229932963437,119
-0.22431939752461327,0.17417166679242127,120
-1.6189339672078105,-1.0619792080315416,121
-1.1981921128216304,-0.4664002355755862,122
-1.2415218549826346,-0.2061988037447918,123
-1.6668756319560976,-0.3887151060573633,124
-1.0585431068967608,-0.283708460566654,125
-1.4986395406038955,1.060838257591595,126
-1.4337307253663474,-0.32454704456652034,127
-2.1949956409588314,-1.1173122497383787,128
-1.5270038873162628,-0.8161380292163338,129
-0.5996382976846283,0.2749469900183524,130
-1.2746069362934425,-0.32770242205143973,131
-0.8969637083990979,-0.6529356504980265,132
-1.4848729328900703,-0.6337801195591686,133
-1.7831843229868019,-0.6999613404958367,134
-1.1575977368352062,-0.8718182121682846,135
-1.8615435565395655,-0.8741083757903437,136
-0.5204478388026827,-0.23086891583031655,137
-1.2960985396675508,-0.20693035291151557,138
-1.190212992669886,-0.3551056127173492,139
0.09966428445321907,-0.6126599331753695,140
-1.6845125726268566,-1.0463914578340532,141
-0.324829778668275,0.4760783978015302,142
-0.6747260691523809,-0.9149891772210531,143
-0.1877612005673576,-0.5422180584977903,144
-1.7279393060778643,-1.0838610141189238,145
0.5792080017810954,0.18361066940737095,146
-0.6625812699850255,-0.6479526443728977,147
-1.7279393060778643,-1.0838610141189238,148
-0.44503829538689266,0.12388770561675298,149
-0.08041519065538988,-0.2104715532332332,150
-1.7498808677968232,-1.0848926387703388,151
0.06433584580828586,0.05594662430199375,152
-0.6535832616796857,-0.6329540405478945,153
-0.6881294385453283,-0.03523937335436722,154
0.32089160095145913,0.3452132402514384,155
-1.7265198467373353,-1.0688955371321371,156
0.04923972157011311,0.29265352998732097,157
-0.4278422593926551,-0.15646382045514326,158
-1.6229226600706481,-0.9960947406566427,159
2.1550225566876913,4.141708485849916,160
4.006724346210221,5.938216475875398,161
1.8978844124110599,4.185662688795121,162
3.081238254035072,4.025937530793648,163
3.271153731679458,4.627623206219844,164
3.564664231370797,4.133175223573999,165
3.9480119649411516,5.42678722795044,166
2.1538340197333263,3.4132142549101636,167
