Parameters,PC1,PC2
way,0.03556576841408812,0.027941667184976423
hot,0.009607627347808262,0.0065790870524656524
picks,0.009003812676643843,0.004693295222370389
things,0.019825232759943853,0.01855654854807225
dreams,0.0216979369596386,-0.004417788617259673
clinical,0.018154442277022658,0.005069486703458545
con,0.09315120884013577,0.05807248246616189
man,0.044774665175233604,0.029508171684544206
accounts,0.021660465146096264,0.036506872056615146
thunder,0.14285698465852872,-0.11415542292583467
fitness,0.018269117829433076,0.01571958975153909
uefa,0.002093660168357968,0.0039263697674634
facebook,0.026511460659755636,0.01603686243842695
habits,0.014081326216992531,0.012712178017838844
arcadia,0.0022974501828022286,0.0020806942175041715
thunderstorm,0.13969697249717858,-0.11114456110048294
early,0.01169181161676191,0.012209232277480294
historian,-0.0016171952840378194,-0.0009138066424257825
second,0.015652362740031393,0.01446616661900437
mining,0.012116092359380451,0.02561634982204654
silver,0.00849582628479033,0.01475223382532534
message,0.0033801844215551858,0.003142854308838242
books,0.019241128469523243,0.011738676556858823
storm,0.139135552132201,-0.11181746913883388
finance,0.022083315764235324,0.0435184136718422
francisco,0.004248777528419979,0.00035035740457980714
account,0.03036093374856477,0.04602216237080116
political,0.009349698606258467,0.011481559870254086
insta,0.00753550244827165,0.007888758045065577
bond,0.023690216075824864,0.03288781993753881
results,0.01723891635136495,0.01504377328220871
store,0.011581062606842026,0.00885015936896982
check,0.02089921355918603,0.019827386807656507
community,0.03442107782247638,0.024013017733304613
challenges,0.029008471722622574,0.03103036170631929
share,0.05197635722115635,0.04028316379769527
swingers,0.006012436394745424,0.004404505618228065
scrollers,0.002121739306495773,0.0032647855783871672
vous,0.002513115431534007,0.00045710953977011633
game,0.007902995975072994,0.0061958673055207405
min,0.046552536638345736,0.02909077747880834
sur,0.04508473670122049,0.052216558932718767
dr,0.057120713107733194,0.01289483920558348
economist,0.0045048541799000965,0.012953504467301423
pit,0.02594096087196704,0.04729023210267744
lessons,0.024189994576156334,0.026466701527943795
matthew,0.0017640735634040093,0.0035528256989908065
pimbex,0.012269713983000244,0.026254251487083248
restful,0.09048606348071078,-0.0816014748378004
ai,0.09556062080465517,0.01823806649693723
production,0.036891196316757004,-0.016532568188494842
season,0.0062769757292889874,0.004360510592093636
truth,0.012230335403552423,0.01195938594191803
assets,0.03274353933144923,0.08463279438939277
team,0.010124458799919925,0.013040261471413413
intelligence,0.009945206942397677,0.010944189730822881
ev,0.05566525445265887,0.05715573006677502
change,0.02803699095769394,0.03021548941783045
exclusive,0.014598349489369365,0.008462934709451088
biden,-0.0029496219356253306,-0.001942396827341735
questions,0.02605244743953847,0.02695884680455238
several,0.011672465630437728,0.012833407998527984
fan,0.08314161425361952,-0.06656537354850951
greater,0.02232140511744743,0.02834122453244885
credit,0.01927848601432558,0.022546688318377233
appropriateness,0.06057154208602356,0.16432190779082514
company,0.04115518684173479,0.10356337267236224
film,0.0035964913918642987,0.0019831641008051385
notice,0.015440534609339352,-0.02251126832917862
goggins,0.013400618090723678,0.008729012782288275
access,0.028575388654358706,0.0017741517833791559
hypnosis,0.011657710016918378,-0.007362630206490631
yield,0.026978420903320064,0.0344682245923506
doctor,0.013464445838424226,0.010592253700689436
editor,0.0018242534174101918,0.0018556032992242432
additional,0.0711783566909232,0.04972023274360585
communication,0.014837935263025948,0.014130315818770493
sponsor,0.030124746488863454,0.026609576909064365
neutonic,0.0133125268925024,0.008280556293054925
iq,0.06035825822008336,0.12137052980190269
radio,0.0037137846828289227,0.0027695471407111942
economics,0.006969508388975495,0.013146512423596482
last,0.02436256528593058,0.01261901569653074
gut,0.015607597237174592,0.011075678478312477
talk,0.012711818682689792,0.014810306075488257
skin,0.022777613614819864,0.002745340577976801
informational,0.04553019209002924,0.10658048739960377
jurisdiction,0.04946676628730243,0.13163573378835114
states,0.01158529160964376,0.009060297663104957
dominic,0.00204442069061799,-0.003154840164446407
third,0.001683707780674537,0.0015568495951587826
next,0.0395101184682558,0.005388845758522072
senior,0.003094523224568465,0.0036750056936603343
party,0.005383941313943529,0.002725229457643692
personality,0.010044280591837082,0.011678111772965755
therapy,0.024745819962125847,0.01462358276769498
hour,0.11629906137214839,-0.09512620909681191
media,0.0242457368000314,0.019511122691150972
baby,0.12027487219279288,-0.0892821892940664
original,0.0032830579395296175,0.0027475177775096627
links,0.046850671907820926,0.009346868711693806
vitamin,0.007620408747674407,0.004863726169923938
markets,0.019884323702103236,0.029129808619332412
need,0.05523749350673275,0.0008479132732538865
small,0.03125635646962467,0.00937632460183798
ytw,0.0173870682516689,0.024736478346949177
approach,0.024948921989469835,0.029025299595077037
rates,0.023512445508242406,0.027427017858713914
sound,0.14698834353021514,-0.12359227619400956
correspondent,-0.0017763972126912631,-0.000472562591634356
supplements,0.018375954377615442,0.011970592827842364
secrets,0.0031669847441461903,0.004394069823402202
shopify,0.011083204776460218,0.01531780555216515
debt,0.02008865833645425,0.03167159702881965
guest,0.02784442057752258,0.030806625802779167
program,0.016269347470675894,0.019003044181467685
management,0.02428143861101181,0.02917211257295309
stories,0.04981090533832549,-0.009696823015567435
children,0.012161660099090404,0.01003684226691466
bets,0.008535138434378238,0.004159702500251304
something,0.017676992541833244,0.01056594400372061
strategy,0.02095818764599642,0.03194282639447124
soothe,0.11029258635094111,-0.07575294360012533
look,0.013053406012647444,0.016596243614118773
side,0.017796069059347393,0.016771704230825493
book,0.04046457949689727,0.02880006364174276
topics,0.030895707857097488,0.029400577657037085
research,0.01840066854136351,0.020753410538674043
month,0.01739169894508455,0.01676473119294974
david,0.018158591929136353,0.016002325340935507
foods,0.013919372592016985,0.016142778067835057
guests,0.017102855584724085,0.020532071393799846
tiny,0.007949462355542954,0.00829760373102022
bonds,0.02515631104121881,0.034621552398224564
power,0.03272771895396171,0.023485672894079938
card,0.00270138244187764,0.00571142361912006
government,0.014134356234925208,0.018980439044578322
nutrition,0.016702907670036998,0.015551167995187801
god,0.004351487594328488,0.0034151594067579802
smart,0.018898818138679344,0.019110645585873713
professor,0.012268162817482199,0.011324852335097875
website,0.02510452954729453,0.028229686010066972
hosts,0.004813292101561964,0.005845886377755225
feltman,0.0011631366244107247,0.000623926035946012
full,0.02799180430524959,0.01596667124241165
true,0.015048225033405006,0.013902382645204358
cbs,0.004966214823662785,0.004693198697259293
stoic,0.011604432839309219,0.002609826646241386
importance,0.03577500537929091,0.04680370862144212
feel,0.04920772423150091,-0.009945801676837325
author,0.007872852418328512,0.00987650138837897
content,0.0460001416314766,0.04139344393831987
provide,0.04738303735317046,0.07691730777546309
washington,0.0013172423994431011,-0.0011049453353757662
network,0.01665490411529877,0.01539748989733194
crime,0.0009985438677401295,-0.0002713952543621385
noise,0.15970237186111585,-0.12931811258120415
moment,0.05382766448756351,-0.01673298098942277
discounts,0.02340493325984304,0.0065381405777085
count,0.04234569319046296,0.046863112791287485
mental,0.03746838998117449,0.028214113445001264
video,0.024892141778340194,0.011417319092827595
question,0.03319422655573562,0.030649285659508172
ancient,0.005473682079375852,-0.001955920789961629
thank,0.0411167986782451,0.013098456663045665
thanks,0.034617012407296525,0.007828198812884232
tech,0.018877672234469216,0.02583313021331381
products,0.04701284123619851,-0.0018445822070513255
specific,0.04154609074579679,0.08918778761400602
job,0.012211032752142697,0.017670601149002953
money,0.018401131707662548,0.025606057092936618
men,0.10638217689231128,0.0930224968742836
capital,0.02671362969993085,0.05532197015202548
tools,0.032004954049906234,0.03092729602254053
meditation,0.06334118317968976,-0.04923976549504019
recovery,0.02830827639346442,0.019246390449270883
discount,0.025325375539170542,0.009987182543483662
creative,0.007210990727158614,0.007189680926251546
wsj,-0.007607179823694147,-0.0031196607725583287
club,0.009036981764809984,0.007301666217928763
help,0.09083192407058696,-0.010707997247429064
professional,0.02627485300503624,0.028853930225590903
audio,0.045591224597678094,-0.024873679765442785
movie,0.0014126252687464938,-0.0016576428571240735
merch,0.005820447314081711,0.003688771100581057
email,0.03427065335852491,-0.008129565478605423
war,0.0185618924804438,0.012111879284584431
action,0.03516859258470673,0.02397063928317751
events,0.012838903941679568,0.01230125521818878
que,0.04684291180542079,0.03656554636425335
real,0.025821384273321955,0.02931079929380917
data,0.013637979293330485,0.01917851558852005
post,0.015158914741041472,0.014699261662070418
key,0.04360584204556399,0.016267777391901817
difficulty,0.10798570440353325,-0.07275740278492801
brian,-0.00046754556960064983,0.0020947969020716183
year,0.02912901649197255,0.031320404735429026
potential,0.0247777895810063,0.036196381665067265
family,0.01898814584045144,0.015168854351823803
call,0.0117685991540482,0.0057825227521638035
state,0.025186896241390352,0.02652781160858324
slate,0.0048441895327352245,0.004266892982272055
development,0.019161805385406013,0.020528429654645134
french,0.0020002966270482488,-0.0013964691520310995
producers,0.0016289273027720352,-0.00042125430664207423
practical,0.03335531649408781,0.044698539380792664
study,0.09563873054779067,-0.061540603726381427
insights,0.03540393286503034,0.05475016167460259
extra,0.012768319135506561,0.008756605230039502
brokerage,0.02599099773154875,0.03648985049487176
please,0.02880659916438762,0.012544326010137294
human,0.015294938446027367,0.013480429326798054
discussion,0.014003205540525462,0.018161469005674422
kids,0.014836685431448065,0.01282920704438795
morning,0.002134075030618481,0.0016983430676528741
securities,0.048912986969868066,0.13212841577926318
uk,0.010555719560880734,0.006944853726130518
important,0.03468105722195793,0.054109077775150755
group,0.040695609081228476,0.08505415616616971
ideas,0.012806378651701247,0.014619100255335967
premium,0.05502417200625367,-0.02569628923096661
voice,0.042496894564121916,-0.012363260958184921
language,0.008869210712138352,0.009432179228021444
break,0.02232485171770302,0.028557019738664844
price,0.02069880869565789,0.03150569433186916
tips,0.026323292748004355,0.0336386965670183
let,0.029800652214941815,0.020822929749475545
addiction,0.025185277359709084,0.016889753752689224
rachel,0.00650727313633177,0.005452862379170643
brown,0.0808187745118242,-0.07067044830428293
little,0.01685841000901889,0.010811200393020609
